news,value
"Когда реорганизация компании не лишает ее права на отсрочку по взносам
",0.0
"Мобилизованные граждане получат отсрочку по ипотеке
",0.0
",Как оформить сотруднику отсрочку от мобилизации
",0.0
"Госдума приняла закон об ужесточении наказания за военные преступления
",0.0
"«Детско-учебный» НДФЛ-вычет можно получить по расходам на оплату репетитора
",0.0
"Трудовые книжки-2022 – главное за 5 минут
",0.0
"В России объявлена частичная мобилизация
",0.0
"Обновлен список ИФНС, обеспечивающих дистанционное участие в рассмотрении жалоб
",0.0
"Снять с себя чужой долг можно через Госуслуги
",0.0
"ФНС обновила декларацию по налогу на прибыль
",0.0
"С какой даты можно уволить сотрудника, вышедшего с больничного с опозданием
",0.0
"Когда заключенные ГПД не мешают ИП на УСН уменьшить налог на взносы
",0.0
"Появятся коды выполняемой функции для неработников
",0.0
"На сколько оштрафуют за несколько непробитых чеков
",0.0
"Кредитные каникулы для граждан предложено продлить
",0.0
"Читайте журнал «Главная книга» № 19 за 2022 год
",0.0
"Предварительно определены размеры пособий по безработице на 2023 год
",0.0
"Выдать бумажный чек нужно, даже если покупатель от него отказывается
",0.0
"Может ли отель принять к вычету НДС с аванса, полученного до 1 июля
",0.0
"Разработана новая отчетность в новый единый фонд
",0.0
"Увольнение сразу после трудоустройства: нужна ли двухнедельная отработка
",0.0
"Призеров лотерей освободят от головной боли с уплатой НДФЛ
",0.0
"Исправить ошибку в ЕГРН по своей недвижимости можно онлайн
",0.0
"Мошенническая многоходовочка: новый способ хищения денег у граждан
",0.0
"Прочие события за 12-16 сентября
",0.0
"Когда перерыв между авансом и зарплатой может быть больше 15 дней
",0.0
"Ключевая ставка продолжает снижение
",0.0
"Систему прослеживаемости товаров изменят
",0.0
"Для получения больничного пособия справка о зарплате с прошлой работы не потребуется
",0.0
"Смартфон – это вам не ККТ
",0.0
"Штраф за переход железной дороги в неположенном месте значительно вырастет
",0.0
"Что нужно сделать бухгалтеру с 19 по 23 сентября
",0.0
"Утверждена новая форма для сообщения о ТС и кадастровой недвижимости
",0.0
"Разрешена продажа недвижимости недружественным иностранцам
",0.0
"Нужно ли платить транспортный налог за беспилотник
",0.0
"Для НДС-вычета чека и авансового отчета мало
",0.0
"Банки должны рассказывать гражданам всю правду о своем кешбэке
",0.0
"Товар отгружен в одном квартале, а принят в другом: когда восстанавливать НДС с аванса
",0.0
"Может ли работник-иностранец взять больничный
",0.0
"Оказание экскурсионных услуг можно перевести на ПСН
",0.0
"Как работать с самозанятыми – главное за 5 минут
",0.0
"Как узнать, на уплату каких налогов инспекция направила ЕНП
",0.0
"Минтруд развеял мифы о материнском капитале
",0.0
"Когда оплата за гостиничный номер облагается НДС по ставке 20%
",0.0
"Подарки, билеты и путевки для работников: что со страховыми взносами
",0.0
"Обновлен статотчет о затратах на производство и продажу продукции
",0.0
"Работник, сменивший имя и фамилию, - все тот же работник
",0.0
"Облагается ли НДФЛ оплата «трудового» патента за работника-иностранца
",0.0
"Что будет с шенгенскими визами
",0.0
"Право на отсрочку по страховым взносам можно проверить онлайн
",0.0
"Как будут считать пени за неуплату ЕНП
",0.0
"Автомойку самообслуживания можно перевести на патент
",0.0
"Сотрудницу нельзя отозвать из отпуска по БиР
",0.0
"Определен порядок обеспечения работодателей трудовыми книжками
",0.0
"Согласие на обработку персональных данных можно будет отозвать
",0.0
"Продавать квартиру долями по метру больше нельзя
",0.0
"Что нужно сделать, чтобы не переплачивать налоги за свое имущество
",0.0
"Прочие события за 5-9 сентября
",0.0
"Установлен особый порядок сделок с долями ООО
",0.0
"Заявление о «закрытии» ИП: новая форма
",0.0
"Брать с граждан комиссию за выдачу валюты по-прежнему запрещено
",0.0
"Обеденный перерыв: без него никак, но есть пространство для маневра
",0.0
"Самозанятые смогут получать больничное пособие
",0.0
"Что нужно сделать бухгалтеру с 12 по 16 сентября
",0.0
"Подготовлены формы уведомлений об обработке персональных данных
",0.0
"Разработаны документы для возврата и зачета ЕНП
",0.0
"Как в «прибыльных» целях учесть продажу подарочных сертификатов
",0.0
"Согласие о переходе на ЭКДО работник должен дать письменно
",0.0
"Покупать золото и серебро граждане смогут прямо с завода
",0.0
"Преобразование ЗАО в ООО обнуляет базу по взносам
",0.0
"Обновлена статотчетность по финансам и ценам
",0.0
"Стало ясно, какой будет промышленная ипотека
",0.0
"Аренда-2022: ФСБУ 25/2018, налоговый учёт, лизинг
",0.0
"Не все услуги горнолыжных комплексов облагаются НДС по нулевой ставке
",0.0
"Банкам запретили ущемлять пожилых и инвалидов при предоставлении кредитов
",0.0
"Бесплатное устранение недоделок по гарантии облагается НДС
",0.0
"Как платить транспортный налог при передаче авто из одного ОП в другое
",0.0
"Предварительно определены ставки платы за НВОС на 2023 год
",0.0
"Может ли работник отказаться от обеденного перерыва
",0.0
"Куда ИП на ПСН платить страховые взносы за себя
",0.0
"Самозанятые могут продавать свою продукцию на ярмарках
",0.0
"Почта России будет доставлять не только письма, но и алкоголь
",0.0
"Обновлена статотчетность о деятельности организации
",0.0
"Читайте журнал «Главная книга» № 18 за 2022 год
",0.0
"С 2023 года РСВ нужно будет сдавать по новой форме
",0.0
"Обновлена форма заявления для возмещения пособия на погребение
",0.0
"ИП на УСН получил подарок от родни: что с налогами
",0.0
"С сентября вступили в силу новые правила техосмотра
",0.0
"Банкам рекомендовано сделать условия обслуживания карт максимально понятными
",0.0
"Заявку о голосовании на дому можно подать через Госуслуги
",0.0
"Прочие события за 29 августа – 2 сентября
",0.0
"ККТ для расчетов в Интернете нельзя установить в обычном магазине
",0.0
"Какой МРОТ брать в целях применения 15%-го тарифа взносов
",0.0
"Что нужно для перехода из детского отпуска в декрет
",0.0
"Должен ли работник вернуть переплату, возникшую из-за технической ошибки
",0.0
"Госуслуги могут стать вторым паспортом
",0.0
"Что нужно сделать бухгалтеру с 5 по 9 сентября
",0.0
"Нужно ли предоставлять работнику «детский» НДФЛ-вычет за предыдущего работодателя
",0.0
"Систему ЭКДО рекомендуется связать с Госуслугами
",0.0
"Когда компенсацию дистанционщику можно списать в расходы
",0.0
